feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.__.__.__.__	timepoint	timepoint	2.23416405557571	0.256205697827684	63	51	7.25522498721853e-12	2.43276762852671e-10
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Alteromonadales.f__Colwelliaceae.g__Thalassotalea.s__uncultured_Colwelliaceae	timepoint	timepoint	1.11617244714695	0.130976576974393	63	61	8.42983939976106e-12	2.78314390029034e-10
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Flavobacteriales.f__Flavobacteriaceae.g__Aquibacter.s__uncultured_bacterium	timepoint	timepoint	1.82909158698096	0.21411045685178	63	39	1.1294273225202e-11	3.67235005170961e-10
d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__SAR11_clade.f__Clade_III.g__Clade_III.__	timepoint	timepoint	-0.971909485003886	0.116645068513728	63	63	1.33164039536836e-11	4.26522431113508e-10
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Oceanospirillales.f__Nitrincolaceae.g__Neptuniibacter.s__Neptuniibacter_caesariensis	timepoint	timepoint	-0.872382001871863	0.101559713483749	63	48	1.62183314433155e-11	5.11831459961103e-10
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Cellvibrionales.f__Cellvibrionaceae.g__Aestuariicella	timepoint	timepoint	0.838277575403991	0.0988612592638077	63	61	2.36523747921554e-11	7.26277097322375e-10
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Cellvibrionales.f__Cellvibrionaceae.g__Aestuariicella.s__uncultured_bacterium	timepoint	timepoint	0.838159625271879	0.0988527946064132	63	61	2.36903060636376e-11	7.26277097322375e-10
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Alteromonadales.f__Colwelliaceae.g__Thalassotalea.s__Thalassotalea_ganghwensis	timepoint	timepoint	1.63643127512241	0.198865963599424	63	50	2.5422064118082e-11	7.68390839400054e-10
d__Bacteria.p__Actinobacteriota.c__Actinobacteria	timepoint	timepoint	-1.21048804175009	0.147513255894174	63	62	2.73829775107218e-11	8.16164857472348e-10
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Flavobacteriales.f__Flavobacteriaceae.g__Tenacibaculum	timepoint	timepoint	1.00050902061842	0.122832711631663	63	60	4.29414592820901e-11	1.2623612550598e-09
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales.f__Oxalobacteraceae	timepoint	timepoint	-1.73006348377309	0.203447291087532	63	56	6.6387332069358e-11	1.92523263001138e-09
d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.g__Cognatishimia	timepoint	timepoint	0.873851737181306	0.108136690505027	63	61	9.07864282665073e-11	2.59770233413233e-09
d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__SAR11_clade.f__Clade_I.g__Clade_Ia	timepoint	timepoint	-1.35860867656401	0.170983831881754	63	60	9.78884529670757e-11	2.7281638969785e-09
d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__SAR11_clade.f__Clade_I.g__Clade_Ia.__	timepoint	timepoint	-1.35855357713811	0.170962656907868	63	60	9.7653575261929e-11	2.7281638969785e-09
d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__SAR11_clade.f__Clade_I	timepoint	timepoint	-1.36051622853982	0.171571826817063	63	60	1.04854194118874e-10	2.88483462280903e-09
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Cellvibrionales.f__Spongiibacteraceae.g__Spongiibacter	timepoint	timepoint	1.4959452231808	0.184061161716155	63	50	1.11360224068733e-10	2.98723801064375e-09
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Cellvibrionales.f__Spongiibacteraceae.g__Spongiibacter.__	timepoint	timepoint	1.4959452231808	0.184061161716155	63	50	1.11360224068733e-10	2.98723801064375e-09
d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Corynebacteriales.f__Corynebacteriaceae	timepoint	timepoint	-1.44760754991288	0.186241282256725	63	62	1.44356376158451e-10	3.82455287945722e-09
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Alteromonadales.f__Pseudoalteromonadaceae	timepoint	timepoint	0.731317270552515	0.0958574976408415	63	63	2.47926465590845e-10	6.48841701412138e-09
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Moraxellaceae.g__Enhydrobacter	timepoint	timepoint	-1.29836428581818	0.169166158007703	63	37	2.55703455849984e-10	6.53261447921506e-09
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Moraxellaceae.g__Enhydrobacter.__	timepoint	timepoint	-1.29836428581818	0.169166158007703	63	37	2.55703455849984e-10	6.53261447921506e-09
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Flavobacteriales.f__Flavobacteriaceae.g__Tenacibaculum.s__Tenacibaculum_litopenaei	timepoint	timepoint	1.39937016158912	0.186519907089158	63	55	3.46688630957964e-10	8.7528682592446e-09
d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Corynebacteriales.f__Corynebacteriaceae.g__Corynebacterium	timepoint	timepoint	-1.46772990653426	0.19512290537367	63	61	3.98870014396297e-10	9.84349991364234e-09
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Flavobacteriales.f__Flavobacteriaceae	timepoint	timepoint	0.754282936910037	0.0992765475451152	63	63	3.99060807309824e-10	9.84349991364234e-09
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales	timepoint	timepoint	-1.98828224704597	0.263541560213736	63	56	7.1900082998392e-10	1.75338156948351e-08
d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.g__Cognatishimia.s__uncultured_bacterium	timepoint	timepoint	0.863254738922421	0.115374015531748	63	61	8.19046219551007e-10	1.97491369343423e-08
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales.f__Oxalobacteraceae.g__Herbaspirillum	timepoint	timepoint	-1.46822217911462	0.20593482407287	63	42	1.50372231931155e-09	3.54614076620063e-08
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales.f__Oxalobacteraceae.g__Herbaspirillum.__	timepoint	timepoint	-1.46822217911462	0.20593482407287	63	42	1.50372231931155e-09	3.54614076620063e-08
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Enterobacteriaceae	timepoint	timepoint	-1.94070877987761	0.265047804634234	63	56	1.61094530421282e-09	3.75770502482686e-08
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Flavobacteriales	timepoint	timepoint	0.653945683602018	0.0912675457357984	63	63	2.02905373489665e-09	4.68209603772926e-08
d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria	timepoint	timepoint	0.469570896392519	0.0651695716364306	63	63	2.15770083908539e-09	4.92598510710345e-08
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Cellvibrionales.f__Spongiibacteraceae	timepoint	timepoint	1.43278596978426	0.196995577758903	63	51	2.48387429577181e-09	5.61094130392242e-08
d__Bacteria.p__Bdellovibrionota.c__Bdellovibrionia.o__Bacteriovoracales.f__Bacteriovoracaceae.g__Halobacteriovorax.s__Bacteriovorax_sp.	timepoint	timepoint	1.28788646179683	0.179627845072402	63	41	2.84253684549973e-09	6.3542542400442e-08
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Oceanospirillales.f__Nitrincolaceae.g__Corallomonas	timepoint	timepoint	-1.37701651774627	0.195031455628169	63	47	3.21858955504111e-09	7.0480542705288e-08
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Oceanospirillales.f__Nitrincolaceae.g__Corallomonas.s__Corallomonas_stylophorae	timepoint	timepoint	-1.37701651774627	0.195031455628169	63	47	3.21858955504111e-09	7.0480542705288e-08
d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Parvibaculales	timepoint	timepoint	-1.42151533573218	0.204948770319236	63	50	3.68916634096054e-09	7.83856531455576e-08
d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Parvibaculales.f__PS1_clade	timepoint	timepoint	-1.42151533573218	0.204948770319236	63	50	3.68916634096054e-09	7.83856531455576e-08
d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Parvibaculales.f__PS1_clade.g__PS1_clade	timepoint	timepoint	-1.42151533573218	0.204948770319236	63	50	3.68916634096054e-09	7.83856531455576e-08
d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodospirillales.f__Terasakiellaceae.__	timepoint	timepoint	1.45231410433848	0.205800173410119	63	43	4.45576618315184e-09	9.28356721266392e-08
d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodospirillales.f__Terasakiellaceae.__.__	timepoint	timepoint	1.45231410433848	0.205800173410119	63	43	4.45576618315184e-09	9.28356721266392e-08
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Oceanospirillales.f__Oceanospirillaceae.g__Oceanospirillum.__	timepoint	timepoint	-0.704185146682128	0.101783255590306	63	63	4.72496980014131e-09	9.74979345298389e-08
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Alteromonadales.f__Alteromonadaceae.g__Alteromonadaceae.s__uncultured_gamma	timepoint	timepoint	1.42033873911424	0.206033902905954	63	52	4.85177845838037e-09	9.91611102065169e-08
d__Bacteria.p__Patescibacteria.c__Gracilibacteria	timepoint	timepoint	1.58930620947113	0.230785540557093	63	59	6.08886930027561e-09	1.23180211873356e-07
d__Bacteria.p__Patescibacteria.c__Gracilibacteria.o__JGI_0000069.P22	timepoint	timepoint	1.59030233831286	0.231191795165718	63	59	6.28230739761738e-09	1.23180211873356e-07
d__Bacteria.p__Patescibacteria.c__Gracilibacteria.o__JGI_0000069.P22.f__JGI_0000069.P22	timepoint	timepoint	1.59030233831286	0.231191795165718	63	59	6.28230739761738e-09	1.23180211873356e-07
d__Bacteria.p__Patescibacteria.c__Gracilibacteria.o__JGI_0000069.P22.f__JGI_0000069.P22.g__JGI_0000069.P22	timepoint	timepoint	1.59030233831286	0.231191795165718	63	59	6.28230739761738e-09	1.23180211873356e-07
d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.g__Pseudophaeobacter	timepoint	timepoint	1.22413637862813	0.17753190229591	63	47	6.37139026931151e-09	1.23180211873356e-07
d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.g__Pseudophaeobacter.__	timepoint	timepoint	1.22413637862813	0.17753190229591	63	47	6.37139026931151e-09	1.23180211873356e-07
d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Corynebacteriales.f__Corynebacteriaceae.g__Corynebacterium.__	timepoint	timepoint	-1.37925788221298	0.204142663953242	63	57	6.50390676436654e-09	1.24619499252952e-07
