feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
PWY0.1533	leachate	leachate	-0.237394173040238	0.0656444606674405	63	63	0.000672646928535956	0.00217260846361482
PWY.7046	timepoint	timepoint	-1.20941315267756	0.337843584595734	63	47	0.000688584637148566	0.00220453841195626
PWY.7219	timepoint	timepoint	0.0127999473341899	0.00356666542114606	63	63	0.000687794466529388	0.00220453841195626
PWY.7373	leachate	leachate	-0.304534247161136	0.0847037564448843	63	63	0.000733518489394131	0.00233932923644615
LIPASYN.PWY	timepoint	timepoint	-0.723322965667272	0.204388873190353	63	58	0.000806185844863046	0.00256119041483414
NONMEVIPP.PWY	timepoint	timepoint	0.0157694209441272	0.00447131625984864	63	63	0.000828749733301658	0.00261277587674492
PWY.7560	timepoint	timepoint	0.0157694209441272	0.00447131625984864	63	63	0.000828749733301658	0.00261277587674492
PWY.5840	timepoint	timepoint	-0.295521636775011	0.0841305490817499	63	63	0.000879537950218205	0.00275188767757666
PWY.7371	leachate	leachate	-0.2945352427672	0.0832564186888383	63	63	0.000876493063017571	0.00275188767757666
PWY.5741	leachate	leachate	-0.173184759109767	0.0493088182383408	63	63	0.00094391015049244	0.00294215012945946
PWY.4984	timepoint	timepoint	0.299260108202561	0.0856872453627233	63	63	0.000973388922258938	0.00302262875859354
PWY.6174	timepoint	timepoint	-1.02267432637334	0.299566528116156	63	41	0.00118930066632109	0.0036792597392555
PWY.5415	leachate	leachate	-0.173354186358957	0.0512412750181925	63	63	0.00131598757681863	0.00405599156138875
PWY.5198	timepoint	timepoint	-0.80365293483085	0.23854969241652	63	43	0.00134917253151752	0.00414281230867462
DENOVOPURINE2.PWY	timepoint	timepoint	-0.0746088194475932	0.0220876893931069	63	63	0.00136310273304447	0.0041700846573879
P221.PWY	timepoint	timepoint	0.157180092108682	0.0465305754246087	63	63	0.00139886030137372	0.00424800959167166
PWY.6269	timepoint	timepoint	0.0412313866312613	0.0122136431603671	63	63	0.00139458348020614	0.00424800959167166
PWY.7392	leachate	leachate	-0.138078357643207	0.0411875324001555	63	63	0.00149424978116376	0.00452106344044421
PWY.6163	timepoint	timepoint	0.0103053822270116	0.00309435387427645	63	63	0.0015362524509	0.00463118439577884
PWY.5747	timepoint	timepoint	-0.0264876426981928	0.00791485737179227	63	63	0.00154543827762326	0.00464193460842476
PWY.5509	timepoint	timepoint	0.0414849195371295	0.0124282218868031	63	63	0.00155891009973836	0.00466543384921698
CALVIN.PWY	timepoint	timepoint	0.00868672661766478	0.0026368642843558	63	63	0.00169075969139315	0.00504175994617596
PWY.5188	timepoint	timepoint	0.010454375130745	0.00319512956294694	63	63	0.00177347687501474	0.0052505085977139
THRESYN.PWY	timepoint	timepoint	-0.0149877038311239	0.00454369964024162	63	63	0.00177099349039191	0.0052505085977139
PYRIDNUCSAL.PWY	timepoint	timepoint	-0.0546629489685722	0.0166832538650415	63	63	0.00185674659454045	0.00547740245389432
PWY.5420	timepoint	timepoint	0.15190247739364	0.0476009950938192	63	63	0.00233650627493883	0.00681962608869071
PWY.6338	leachate	leachate	0.127266098697514	0.0397443906480106	63	63	0.00233149846319319	0.00681962608869071
PWY.7097	leachate	leachate	0.127266098697514	0.0397443906480106	63	63	0.00233149846319319	0.00681962608869071
PWY.7098	leachate	leachate	0.125832993410327	0.0395772657569365	63	63	0.00248880139996661	0.00723855618440994
P184.PWY	leachate	leachate	0.126812114199469	0.0399823454095548	63	63	0.00254697152854863	0.00738174906168831
PWY.6167	timepoint	timepoint	-0.656078878477732	0.208171696773841	63	28	0.00257382825592434	0.00743350398389336
GALLATE.DEGRADATION.II.PWY	leachate	leachate	0.127304810529137	0.0402107251145694	63	63	0.00259001708959274	0.00744591984410317
METHYLGALLATE.DEGRADATION.PWY	leachate	leachate	0.126588042290877	0.0399947315803832	63	63	0.00259615607155171	0.00744591984410317
GALLATE.DEGRADATION.I.PWY	leachate	leachate	0.127166698511274	0.0402077898558918	63	63	0.00261386615233444	0.00747077315511504
PWY.6641	leachate	leachate	-0.189250338883579	0.0600751454077813	63	63	0.00272558425188003	0.00776321583466519
HISTSYN.PWY	timepoint	timepoint	0.0112099962855358	0.00358506474318506	63	63	0.00277774027810102	0.00788458237014241
METHANOGENESIS.PWY	timepoint	timepoint	-0.571473304366294	0.185067128870019	63	16	0.00308315179968564	0.00872151844705595
PWY.5499	timepoint	timepoint	-0.506525819103742	0.165088893977484	63	11	0.00326885964199883	0.00921528349587383
PWY.6071	timepoint	timepoint	-0.256057922365719	0.0841960222365475	63	63	0.00358488326230572	0.0100718148798113
PWY.7644	timepoint	timepoint	-0.658949447421966	0.219005342627875	63	26	0.0038819191377278	0.0108693735856378
VALDEG.PWY	timepoint	timepoint	0.722924167727689	0.242872959806058	63	54	0.0042546287931285	0.0118727141321762
