feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
EC.5.1.3.15	timepoint	timepoint	-0.00249032494721034	0.0072231005489187	63	63	0.731668737990025	0.841188480808909
EC.2.1.1.182	leachate	leachate	0.000798620455814278	0.00232339822613207	63	63	0.73246726359169	0.841885450250569
EC.1.10.3.12	leachate	leachate	-0.0726407648327058	0.213430105172399	63	62	0.734782323647994	0.842776267469457
EC.1.17.1.4	leachate	leachate	-0.00830049764106405	0.02432120580924	63	63	0.734080283086392	0.842776267469457
EC.1.3.5.4	leachate	leachate	-0.00184057350739935	0.00540160229580543	63	63	0.734682258058724	0.842776267469457
EC.2.5.1.48	leachate	leachate	-0.0115588984572292	0.0339539554650821	63	63	0.73472281699083	0.842776267469457
EC.3.2.1.54	leachate	leachate	-0.0681809061676994	0.199512217504044	63	51	0.73393823406663	0.842776267469457
EC.4.4.1.2	leachate	leachate	-0.072363264411664	0.211793405150544	63	62	0.733793705035867	0.842776267469457
EC.5.4.99.28	leachate	leachate	0.00316142320521251	0.00926330958397955	63	63	0.734315718287339	0.842776267469457
EC.5.4.99.29	leachate	leachate	0.00316142320521251	0.00926330958397955	63	63	0.734315718287339	0.842776267469457
EC.2.7.1.63	leachate	leachate	-0.0425105966498091	0.125436744362041	63	63	0.735947742958452	0.843891885456287
EC.3.1.11.6	leachate	leachate	0.000817153110425903	0.00241666952773918	63	63	0.736645846081408	0.844250134592776
EC.6.1.1.16	leachate	leachate	0.000776713881304217	0.0022964828357909	63	63	0.73658898092627	0.844250134592776
EC.2.7.4.8	leachate	leachate	0.000784100049470685	0.00232140184942736	63	63	0.736924624952886	0.844348601948112
EC.1.3.1.45	leachate	leachate	-0.0517436982637752	0.154051102549344	63	63	0.738212840280708	0.845602489424502
EC.2.8.3.16	timepoint	timepoint	0.0444688598861217	0.132477647770539	63	63	0.738405280280921	0.845602489424502
EC.1.14.15.7	leachate	leachate	-0.0188363828566707	0.0563758466133698	63	63	0.739603912366374	0.846264600879928
